name,source,gender,wikidata,type
"גשר יהודית",wikidata,+,Q311583;Q18910588,way
"גשר יצחק נבון",wikidata,+,Q311583;Q18910588,way
אילת,wikidata,-,Q134762,way
"ביל""ו",wikidata,-,Q863392,way
החשמונאים,wikidata,-,Q496922,way
המסגר,wikidata,-,Q1639825,way
"כיכר הבימה",wikidata,-,Q1062617,relation+way
"כיכר המדינה",wikidata,-,Q801,way
"כיכר השוטר",wikidata,-,Q384593,way
"כיכר השעון",wikidata,-,Q2919379,relation
"נחלת בנימין",wikidata,-,Q1812965,way
"שדרות קק""ל",wikidata,-,Q696658,way
"بحر الشام",wikidata,-,Q81483,relation
"ברכה פולד",wikidata,F,Q216505,way
"גשר אוסישקין",wikidata,F,Q2507113,way
"כיכר דיזנגוף",wikidata,F,Q7002793,relation
"אבן גבירול",wikidata,M,Q239355,way
"אחד העם",wikidata,M,Q380425,way
"אליעזר קפלן",wikidata,M,Q1329314,way
בוגרשוב,wikidata,M,Q1058957,way
ביאליק,wikidata,M,Q359705,way
"בן יהודה",wikidata,M,Q181728,relation+way
"גשר ווקופ",wikidata,M,Q2865379,way
"דוד רזיאל",wikidata,M,Q977292,way
דיזנגוף,wikidata,M,Q114866,way
"דרך נמיר",wikidata,M,Q2909456,way
"היינריך היינה",wikidata,M,Q44403,way
"המלך ג'ורג'",wikidata,M,Q269412,way
"המלך ג׳ורג׳",wikidata,M,Q269412,way
"חיים לבנון",wikidata,M,Q2908941,way
טוסקניני,wikidata,M,Q13003,way
"יגאל אלון",wikidata,M,Q319015,way
"יוסף קארו",wikidata,M,Q467148,way
"כיכר ביאליק",wikidata,M,Q359705,relation
"כיכר רבין",wikidata,M,Q34060,relation
"ככר מסריק",wikidata,M,Q78492,way
לוינסקי,wikidata,M,Q7017172,way
לסקוב,wikidata,M,Q1058998,way
מונטיפיורי,wikidata,M,Q733118,relation+way
"מזא""ה",wikidata,M,Q4274489,way
"מנהרת אריה לובה אליאב",wikidata,M,Q658086,way
"מנחם בגין",wikidata,M,Q130873,way
"משה איסרליש",wikidata,M,Q1949189,way
"משה דיין",wikidata,M,Q188783,way
"משה סנה",wikidata,M,Q1338975,way
"פנחס רוזן",wikidata,M,Q1389085,way
"רחבת פלומר",wikidata,M,Q336040,way
"רחוב יפת",wikidata,M,Q200637,relation
"שאול המלך",wikidata,M,Q28730,way
"שדרות דוד בן גוריון",wikidata,M,Q37610,way
"שדרות ח""ן",wikidata,M,Q359705,way
"שדרות רוטשילד",wikidata,M,Q467167,way
"שדרות רוקח",wikidata,M,Q129676,way
שינקין,wikidata,M,Q12409293,way
שלוש,wikidata,M,Q4694981,way
"שמעון בר יוחאי",wikidata,M,Q557405,way
"בוני העיר",csv,+,,way
אבוקה,csv,-,,way
אדירים,csv,-,,way
אדר,csv,-,,way
"אהבת ציון",csv,-,,way
אוגרית,csv,-,,way
אופיר,csv,-,,way
אופקים,csv,-,,way
"אור החיים",csv,-,,way
אורים,csv,-,,way
אזוב,csv,-,,way
"אח""י דקר",csv,-,,way
אחווה,csv,-,,way
"אחוזת בית",csv,-,,way
אחילוף,csv,-,,way
"איילון דרום",csv,-,,way
"איילון צפון",csv,-,,way
"איילת השחר",csv,-,,way
אייר,csv,-,,way
איל״ן,csv,-,,way
אירוס,csv,-,,way
אלול,csv,-,,way
"אלוף בצלות",csv,-,,way
אלמגור,csv,-,,way
אמונים,csv,-,,way
אמירים,csv,-,,way
"אמנון ותמר",csv,-,,way
אמסטרדם,csv,-,,way
אמץ,csv,-,,way
"אני מאמין",csv,-,,way
"אסירי ציון",csv,-,,way
"אפ""ק",csv,-,,way
"אצ""ל",csv,-,,way
"ארבע ארצות",csv,-,,way
ארנון,csv,-,,relation
אשדוד,csv,-,,way
אשקלון,csv,-,,way
"באר טוביה",csv,-,,way
"באר שבע",csv,-,,way
בבלי,csv,-,,way
בדולח,csv,-,,way
בורמה,csv,-,,way
בושם,csv,-,,way
בזל,csv,-,,way
בילטמור,csv,-,,way
ביצרון,csv,-,,way
ביריה,csv,-,,way
בירנית,csv,-,,way
"בית אורן",csv,-,,way
"בית אל",csv,-,,way
"בית אלפא",csv,-,,way
"בית אשל",csv,-,,way
"בית גוברין",csv,-,,way
"בית הבד",csv,-,,way
"בית הקציר",csv,-,,way
"בית חדש",csv,-,,way
"בית חורון",csv,-,,way
"בית יצקר",csv,-,,way
"בית ירח",csv,-,,way
"בית לחם",csv,-,,way
"בית עובד",csv,-,,way
"בית פלט",csv,-,,way
"בית קשת",csv,-,,way
"בית רעים",csv,-,,way
"בכורי ציון",csv,-,,way
"בת גלים",csv,-,,way
"בת חן",csv,-,,way
"בת ים",csv,-,,way
"בת עין",csv,-,,way
"בת עמי",csv,-,,way
גבולות,csv,-,,way
"גוש חלב",csv,-,,way
"גוש עציון",csv,-,,way
גזית,csv,-,,way
גזר,csv,-,,way
גייגר,csv,-,,way
גינוסר,csv,-,,way
"גן הפסלים",csv,-,,way
געש,csv,-,,way
"גשר ""הקריה""",csv,-,,way
"גשר היהלומים",csv,-,,way
"גשר המכביה ה-15",csv,-,,way
"גשר המכנסיים",csv,-,,way
"גשר המשאלות",csv,-,,way
"גשר התערוכה",csv,-,,way
"גשר חלון ליפו",csv,-,,way
"גשר נחושתן",csv,-,,way
"גשר עמק ברכה",csv,-,,way
"גשר ראש ציפור",csv,-,,way
"גשרון גהה מערב",csv,-,,way
"גת רימון",csv,-,,way
דגן,csv,-,,way
דגניה,csv,-,,way
דודאים,csv,-,,way
דקל,csv,-,,way
דרור,csv,-,,way
"דרך ההגנה",csv,-,,way
"דרך הפארק",csv,-,,way
"דרך לוד",csv,-,,way
האגוז,csv,-,,way
האומנים,csv,-,,way
האסיף,csv,-,,way
האספרגוס,csv,-,,way
האקליפטוס,csv,-,,way
הארד,csv,-,,way
האשכולית,csv,-,,way
האתרוג,csv,-,,way
הברוש,csv,-,,way
הברזל,csv,-,,way
הבשן,csv,-,,way
הגבורה,csv,-,,way
הגולן,csv,-,,way
"הגיבור האלמוני",csv,-,,way
הגיבורים,csv,-,,way
הגיחון,csv,-,,way
הגלבוע,csv,-,,way
הגליל,csv,-,,way
הגלעד,csv,-,,way
"הגמנסיה העברית",csv,-,,way
הגפן,csv,-,,way
הדגל,csv,-,,way
הדואר,csv,-,,way
הדולפין,csv,-,,way
הדייגים,csv,-,,way
הדמומית,csv,-,,way
ההדס,csv,-,,way
הותיקים,csv,-,,way
הזית,csv,-,,way
הזמיר,csv,-,,way
הזרם,csv,-,,way
החבצלת,csv,-,,way
החותרים,csv,-,,way
החיזיון,csv,-,,way
החצב,csv,-,,way
החצוצרה,csv,-,,way
החרוב,csv,-,,way
החרמון,csv,-,,way
החרמש,csv,-,,way
החרצית,csv,-,,way
החרש,csv,-,,way
החשמל,csv,-,,way
"היכל התלמוד",csv,-,,way
היסוד,csv,-,,way
היסמין,csv,-,,way
הירדן,csv,-,,way
הירקון,csv,-,,relation+way
היתד,csv,-,,way
הכובשים,csv,-,,way
הכינור,csv,-,,way
הכישור,csv,-,,way
הכלנית,csv,-,,way
"הכנסת הגדולה",csv,-,,way
הכרם,csv,-,,relation
הכרמל,csv,-,,way
הלוטוס,csv,-,,way
הלימון,csv,-,,way
הלענה,csv,-,,way
הלפיד,csv,-,,way
המאבק,csv,-,,way
המבצעים,csv,-,,way
